DTS,Downstream 1,Downstream 2,Downstream 3,Downstream 4,Downstream 5,Downstream 6,Downstream 7,Downstream 8,Downstream 9,Downstream 10,Downstream 11,Downstream 12,Downstream 13,Downstream 14,Downstream 15,Downstream 16
2013-08-14 00:54:00,37.09,38.26,37.94,37.36,38.98,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 01:24:00,37.36,38.26,37.94,37.64,38.61,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 01:54:00,37.36,38.26,37.94,37.64,38.61,38.61,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 02:24:00,37.36,38.26,37.94,37.36,38.98,38.98,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 02:54:00,37.36,38.26,37.94,37.64,38.61,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 03:24:00,37.36,38.26,37.94,37.64,38.98,38.61,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 03:54:00,37.64,38.26,37.94,37.64,38.61,38.61,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 04:24:00,37.36,38.26,37.94,37.64,38.61,38.61,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 04:54:00,37.36,38.26,37.94,37.64,38.98,38.61,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 05:24:00,37.64,38.26,37.94,37.94,38.61,38.61,38.26,38.61,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 05:54:00,37.64,38.26,37.94,37.94,38.61,38.61,38.26,38.61,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 06:24:00,37.36,38.26,37.94,37.94,38.61,38.61,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 06:54:00,37.64,38.26,37.94,37.94,38.61,38.61,38.26,38.61,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 07:24:00,37.36,38.26,37.94,37.94,38.98,38.98,38.26,38.61,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 07:54:00,37.09,38.26,37.94,37.94,38.98,38.61,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 08:24:00,37.09,38.26,37.94,37.64,38.61,38.26,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 08:54:00,37.09,38.26,37.94,37.64,38.61,38.61,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 09:24:00,37.09,38.26,37.94,37.36,38.61,38.61,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 09:54:00,37.09,38.26,37.94,37.36,38.98,38.98,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 10:24:00,37.09,38.26,37.94,37.64,38.61,38.61,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 10:54:00,37.09,38.26,37.94,37.36,38.61,38.61,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 11:24:00,37.09,38.26,37.94,37.64,38.98,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 11:54:00,37.09,38.26,37.94,37.64,38.61,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 12:24:00,37.09,38.26,37.94,37.64,38.61,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 12:54:00,37.09,38.26,37.94,37.64,38.61,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
